Time, Lon, Lat, Depth
02:27:37.00,165.36710905583334,-21.60405983183333,1.15
02:27:38.00,165.36709761316666,-21.60406495833333,1.14
02:27:39.00,165.36708582016666,-21.60407067900000,1.14
02:27:40.00,165.36707399849999,-21.60407674666667,1.45
02:27:41.00,165.36706244166666,-21.60408306383333,1.52
02:27:42.00,165.36705122650000,-21.60408977466667,1.48
02:27:43.00,165.36704003216667,-21.60409659683333,1.38
02:27:44.00,165.36702882533334,-21.60410327400000,1.41
02:27:45.00,165.36701748033335,-21.60410930750000,1.40
02:27:46.00,165.36700591383334,-21.60411459900000,1.20
02:27:47.00,165.36699359516666,-21.60411943916667,0.86
02:27:48.00,165.36698060166665,-21.60412368750000,1.48
02:27:49.00,165.36696734200001,-21.60412761366667,1.46
02:27:50.00,165.36695388033334,-21.60413163366667,1.46
02:27:51.00,165.36694031616668,-21.60413609100000,1.48
02:27:52.00,165.36692653533333,-21.60414082100000,1.45
02:27:53.00,165.36691266800000,-21.60414620900000,1.34
02:27:54.00,165.36689843799999,-21.60415163816667,1.12
02:27:55.00,165.36688436300000,-21.60415693550000,1.34
02:27:56.00,165.36687053416668,-21.60416164433333,1.91
02:27:57.00,165.36685658900001,-21.60416496883333,1.36
02:27:58.00,165.36684272166667,-21.60416904233333,1.45
02:27:59.00,165.36682857900001,-21.60417285600000,1.47
02:27:60.00,165.36681414066666,-21.60417672716667,1.43
02:28:1.00,165.36679957816668,-21.60418016300000,1.40
02:28:2.00,165.36678511716667,-21.60418301616667,1.38
02:28:3.00,165.36677048799999,-21.60418583100000,1.48
02:28:4.00,165.36675592899999,-21.60418857466667,1.23
02:28:5.00,165.36674177616666,-21.60419185400000,1.60
02:28:6.00,165.36672853616668,-21.60419600683333,1.46
02:28:7.00,165.36671603566666,-21.60420129950000,1.44
02:28:8.00,165.36670436550000,-21.60420831966667,1.44
02:28:9.00,165.36669334766665,-21.60421664666667,1.44
02:28:10.00,165.36668290616666,-21.60422603050000,1.45
02:28:11.00,165.36667278066668,-21.60423603233333,1.44
