Time, Lon, Lat, Depth
00:17:31.00071000,165.34228340516665,-21.600245361833334,2.495
00:17:31.99999998,165.34227290883334,-21.6002564355,2.75
00:17:33.00070999,165.3422620905,-21.600267712333334,2.495
00:17:34.00000000,165.342249732,-21.600278094666667,2.53333333333
00:17:35.00070999,165.3422393475,-21.600289075833334,2.57
00:17:36.00,165.3422271105,-21.6002996535,2.58333333333
00:17:37.00070998,165.34221410383333,-21.60030973616667,2.455
00:17:38.00,165.34220192883333,-21.600319661166665,2.555
00:17:39.00,165.34218848766668,-21.6003294325,2.51
00:17:40.00,165.34217487466665,-21.600339448833335,2.395
00:17:40.00070998,165.34217416666667,-21.6003399275,2.51
00:17:40.99969999,165.34216048083334,-21.600348477,2.445
00:17:42.00070999,165.34214675416666,-21.600357583833333,2.45
00:17:43.00,165.342131676,-21.600365497833334,2.46
00:17:43.99999998,165.342118204,-21.600374937333335,2.39
00:17:44.99999999,165.342103594,-21.6003833325,2.43
00:17:46.00000000,165.34208975333334,-21.600392866,2.23
00:17:46.99999999,165.3420753175,-21.600400902333334,2.24333333333
00:17:48.00070999,165.34206141116667,-21.600410485666668,2.25
00:17:49.00,165.34204583016665,-21.600417585833334,2.24
00:17:49.00070997,165.3420451735,-21.600418042,2.19
00:17:50.00070999,165.34203170166666,-21.600426106,2.34
00:17:51.00071000,165.34201636066666,-21.600433697166668,2.33
00:17:51.99999999,165.34200145783333,-21.600441795666665,2.305
00:17:53.00071000,165.341985896,-21.600449364333333,2.38
00:17:53.99999999,165.34197099966667,-21.600457340833334,2.305
00:17:55.00,165.34195588616666,-21.600465411,2.38333333333
00:17:56.00,165.341941407,-21.600474765333335,2.15
00:17:57.00,165.34192634516666,-21.6004825975,2.48666666667
00:17:58.00,165.34191066766667,-21.600491480666665,2.25
00:17:58.00070999,165.34190992016667,-21.600491976166666,2.27
00:17:58.99999999,165.3418948885,-21.600500688166665,2.465
00:18:00.00,165.34187938416667,-21.600508535166668,2.37
00:18:00.00070999,165.34187864233334,-21.600508947333335,2.36
00:18:01.00070998,165.34186389416666,-21.600516641166667,2.455
00:18:02.00,165.3418484105,-21.600523347166668,2.36
00:18:02.00070998,165.341847692,-21.600523730666666,2.4
00:18:02.99999998,165.34183295116668,-21.600529960166668,2.54
00:18:04.00070999,165.34181688966666,-21.600537061,2.485
00:18:05.00,165.341801041,-21.600543615333333,2.465
00:18:06.00,165.34178564366667,-21.600550986000002,2.575
00:18:07.00000000,165.34176924933334,-21.600558226166665,2.465
00:18:08.00070999,165.3417544845,-21.600565802333332,2.55
00:18:09.00,165.341739624,-21.600573465166665,2.545
00:18:09.00070998,165.34173886833332,-21.600573775,2.49
00:18:09.99999998,165.34172392733333,-21.600580652833333,2.565
00:18:11.00,165.341709015,-21.600588252333335,2.64
00:18:11.00070998,165.3417082065,-21.600588625333334,2.52
00:18:12.00,165.34169367416666,-21.600596535166666,2.595
00:18:13.00070999,165.341678135,-21.600604515166665,2.59
00:18:14.00,165.3416635265,-21.600611820166666,2.48
00:18:15.00070999,165.34164944533333,-21.600618122666667,2.59
