Lon;Lat;name
165.352770845 ; -21.5988252799 ; A_1
165.352867672 ; -21.5989154235 ; A_2
165.3529645 ; -21.599005567 ; A_3
165.352964719 ; -21.5990959153 ; A_4
165.366601999 ; -21.6052101444 ; A_5
165.366602227 ; -21.6053004925 ; A_6
165.366602454 ; -21.6053908407 ; A_7
165.366602682 ; -21.6054811888 ; A_8
165.36660291 ; -21.6055715369 ; A_9
