DateTimeUTC11, Lon, Lat, Depth
2018-05-22T11:10:45,165.34548493266666,-21.59812388716667,1.16
2018-05-22T11:10:46,165.34548292966667,-21.59812432200000,1.33
2018-05-22T11:10:47,165.34548426866667,-21.59812328966667,1.20
2018-05-22T11:10:48,165.34548388183333,-21.59812445583333,1.20
2018-05-22T11:10:49,165.34548405699999,-21.59812360900000,1.26
2018-05-22T11:10:49,165.34548403433334,-21.59812367950000,1.18
2018-05-22T11:10:50,165.34548458783334,-21.59812391716667,1.22
2018-05-22T11:10:51,165.34548478500000,-21.59812426516667,1.30
2018-05-22T11:10:51,165.34548479800000,-21.59812439266667,1.17
2018-05-22T11:10:52,165.34548433800001,-21.59812290016667,1.29
2018-05-22T11:10:53,165.34548474383334,-21.59812430633333,1.15
2018-05-22T11:10:53,165.34548478516666,-21.59812415600000,1.21
2018-05-22T11:10:54,165.34548435383334,-21.59812315333333,1.22
2018-05-22T11:10:55,165.34548515550000,-21.59812400333333,1.20
2018-05-22T11:10:56,165.34548471150001,-21.59812397816667,1.21
2018-05-22T11:10:57,165.34548461233334,-21.59812375916667,1.23
2018-05-22T11:10:58,165.34548475483334,-21.59812503433333,1.22
2018-05-22T11:10:59,165.34548330499999,-21.59812353633333,1.22
2018-05-22T11:11:0.,165.34548385049999,-21.59812531966667,1.19
2018-05-22T11:11:0.,165.34548384716666,-21.59812529850000,1.24
2018-05-22T11:11:1.,165.34548265466665,-21.59812575900000,1.20
2018-05-22T11:11:2.,165.34548331200000,-21.59812702133333,1.18
2018-05-22T11:11:2.,165.34548325183334,-21.59812711500000,1.21
2018-05-22T11:11:3.,165.34548173483333,-21.59812646883333,1.20
2018-05-22T11:11:4.,165.34548197916666,-21.59812773600000,1.17
2018-05-22T11:11:5.,165.34548031433334,-21.59812660033333,1.19
2018-05-22T11:11:6.,165.34547960283334,-21.59812738316667,1.19
2018-05-22T11:11:7.,165.34547902816666,-21.59812790316667,1.27
2018-05-22T11:11:8.,165.34547876983333,-21.59812877000000,1.24
2018-05-22T11:11:9.,165.34547836850001,-21.59812980033333,1.27
2018-05-22T11:11:10,165.34547690900001,-21.59812983866667,1.27
2018-05-22T11:11:11,165.34547752666666,-21.59813085333333,1.26
2018-05-22T11:11:11,165.34547746266668,-21.59813079683333,1.26
2018-05-22T11:11:12,165.34547672483333,-21.59813083133333,1.27
2018-05-22T11:11:13,165.34547575483333,-21.59813037150000,1.27
2018-05-22T11:11:13,165.34547576233334,-21.59813034616667,1.26
2018-05-22T11:11:14,165.34547663433332,-21.59813181666667,1.27
2018-05-22T11:11:15,165.34547559483335,-21.59813106333333,1.27
2018-05-22T11:11:16,165.34547487550000,-21.59813106700000,1.29
2018-05-22T11:11:17,165.34547423583334,-21.59813083550000,1.28
2018-05-22T11:11:18,165.34547241749999,-21.59813051033333,1.28
2018-05-22T11:11:19,165.34547388616667,-21.59813205150000,1.27
2018-05-22T11:11:20,165.34547277616667,-21.59813181883333,1.27
2018-05-22T11:11:21,165.34547329266667,-21.59813282050000,1.22
2018-05-22T11:11:22,165.34547212233332,-21.59813268733333,1.15
2018-05-22T11:11:22,165.34547214649999,-21.59813275383333,1.21
2018-05-22T11:11:23,165.34547138450000,-21.59813239866667,1.18
2018-05-22T11:11:24,165.34547115550001,-21.59813242900000,1.18
2018-05-22T11:11:25,165.34546956283333,-21.59813164283333,1.26
2018-05-22T11:11:26,165.34547130850001,-21.59813301233334,1.26
2018-05-22T11:11:27,165.34547142483333,-21.59813324083333,1.31
2018-05-22T11:11:28,165.34547210800000,-21.59813394883333,1.25
2018-05-22T11:11:29,165.34547159850001,-21.59813368566667,1.29
2018-05-22T11:11:30,165.34547175750001,-21.59813355633333,1.25
2018-05-22T11:11:31,165.34547143450001,-21.59813362633333,1.27
2018-05-22T11:11:31,165.34547146216667,-21.59813357300000,1.30
2018-05-22T11:11:32,165.34547077483333,-21.59813252550000,1.27
2018-05-22T11:11:33,165.34547006200000,-21.59813197016667,1.30
2018-05-22T11:11:34,165.34547088016666,-21.59813248616667,1.31
2018-05-22T11:11:35,165.34546969966667,-21.59813123716667,1.29
2018-05-22T11:11:35,165.34546982949999,-21.59813129933333,1.23
2018-05-22T11:11:36,165.34547264683334,-21.59813232566667,1.25
2018-05-22T11:11:37,165.34547286266667,-21.59813272133333,1.23
2018-05-22T11:11:38,165.34547396483333,-21.59813327900000,1.24
2018-05-22T11:11:39,165.34547360833332,-21.59813392700000,1.28
2018-05-22T11:11:40,165.34547216150000,-21.59813357466667,1.30
2018-05-22T11:11:41,165.34547347349999,-21.59813549866667,1.21
2018-05-22T11:11:42,165.34547113033332,-21.59813558800000,1.26
2018-05-22T11:11:43,165.34547138900001,-21.59813876033333,1.23
2018-05-22T11:11:44,165.34547036916666,-21.59814063000000,1.26
2018-05-22T11:11:44,165.34547054900000,-21.59814089766667,1.21
2018-05-22T11:11:45,165.34547056066666,-21.59814228933333,1.31
2018-05-22T11:11:46,165.34547323266668,-21.59814617100000,1.18
2018-05-22T11:11:47,165.34547598233334,-21.59814856500000,1.24
2018-05-22T11:11:48,165.34548034466667,-21.59815272250000,1.19
2018-05-22T11:11:49,165.34548522983334,-21.59815620766667,1.25
2018-05-22T11:11:50,165.34549068583334,-21.59816018616667,1.22
2018-05-22T11:11:51,165.34549696483333,-21.59816636150000,1.23
2018-05-22T11:11:52,165.34550182600000,-21.59817275950000,1.20
2018-05-22T11:11:53,165.34550608816667,-21.59817878550000,1.24
2018-05-22T11:11:53,165.34550616566668,-21.59817899416667,1.14
2018-05-22T11:11:54,165.34551010816668,-21.59818509300000,1.15
2018-05-22T11:11:55,165.34551279816668,-21.59818942866667,1.22
2018-05-22T11:11:56,165.34551535716668,-21.59819204700000,1.20
2018-05-22T11:11:57,165.34551850800000,-21.59819642316667,1.20
2018-05-22T11:11:58,165.34552248383332,-21.59819993633333,1.26
2018-05-22T11:11:59,165.34552643933333,-21.59820241483333,1.27
2018-05-22T11:12:0.,165.34553358950001,-21.59820550766667,1.25
2018-05-22T11:12:1.,165.34553964233334,-21.59820889500000,1.23
2018-05-22T11:12:2.,165.34554477149999,-21.59821171600000,1.25
2018-05-22T11:12:3.,165.34555035016666,-21.59821510333333,1.22
2018-05-22T11:12:4.,165.34555515150001,-21.59821962016667,1.23
2018-05-22T11:12:4.,165.34555542250001,-21.59821980333333,1.21
2018-05-22T11:12:5.,165.34556013916668,-21.59822405500000,1.23
2018-05-22T11:12:6.,165.34556496016666,-21.59822855066667,1.24
